document_id,so_ky_hieu,entity,entity_type,source,method,confidence,evidence
166170,32/2024/QH15,Quốc hội,CoQuan,metadata_raw,metadata,1.0,Trích từ metadata.csv: co_quan_ban_hanh='Quốc hội'
166170,32/2024/QH15,Vương Đình Huệ,NguoiKy,metadata_raw,metadata,1.0,"Trích từ metadata.csv: nguoi_ky='Vương Đình Huệ', chuc_danh='Chủ tịch Quốc hội'"
166170,32/2024/QH15,Tín dụng,LinhVuc,metadata_raw,metadata,1.0,Trích từ metadata.csv: linh_vuc='Tín dụng'
166170,32/2024/QH15,Quốc hội,CoQuan,content_clean,gemini,0.99,Quốc hội ban hành Luật Các tổ chức tín dụng.
166170,32/2024/QH15,Vương Đình Huệ,NguoiKy,content_clean,gemini,0.99,"CHỦ TỊCH QUỐC HỘI
Vương Đình Huệ"
166170,32/2024/QH15,Tổ chức tín dụng,DoiTuongApDung,content_clean,gemini,0.98,1. Tổ chức tín dụng.
166170,32/2024/QH15,Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,content_clean,gemini,0.98,2. Chi nhánh ngân hàng nước ngoài.
166170,32/2024/QH15,"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",DoiTuongApDung,content_clean,gemini,0.98,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
166170,32/2024/QH15,"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ",DoiTuongApDung,content_clean,gemini,0.98,"4. Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ (sau đây gọi là tổ chức mua bán, xử lý nợ)."
166170,32/2024/QH15,"Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng; việc thành lập, tổ chức, hoạt động, can thiệp sớm, giải thể, chấm dứt hoạt động của chi nhánh ngân hàng nước ngoài; việc thành lập, hoạt động của văn phòng đại diện nước ngoài; việc xử lý nợ xấu, tài sản bảo đảm của khoản nợ xấu của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức mua bán, xử lý nợ",DoiTuongApDung,content_clean,gemini,0.95,"5. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng; việc thành lập, tổ chức, hoạt động, can thiệp sớm, giải thể, chấm dứt hoạt động của chi nhánh ngân hàng nước ngoài; việc thành lập, hoạt động của văn phòng đại diện nước ngoài; việc xử lý nợ xấu, tài sản bảo đảm của khoản nợ xấu của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức mua bán, xử lý nợ."
