source,target,relationship_type,source_type,target_type,method,confidence,evidence
32/2024/QH15,47/2010/QH12,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"3. Luật Các tổ chức tín dụng số 47/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 hết hiệu lực kể từ ngày Luật này có hiệu lực thi hành, trừ quy định tại các khoản 1, 2, 3, 4, 8, 9, 12 và 14 Điều 210 của Luật này."
32/2024/QH15,17/2017/QH14,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"3. Luật Các tổ chức tín dụng số 47/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 hết hiệu lực kể từ ngày Luật này có hiệu lực thi hành, trừ quy định tại các khoản 1, 2, 3, 4, 8, 9, 12 và 14 Điều 210 của Luật này."
47/2010/QH12,32/2024/QH15,THAY_THE_BOI,Document,Document,rule,0.95,"...ố lượng thành viên Ban kiểm soát theo quy định tại khoản 2 Điều 44 của Luật Các tổ chức tín dụng số 47/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 cho đến hết nhiệm kỳ của Ban kiểm so..."
17/2017/QH14,32/2024/QH15,THAY_THE_BOI,Document,Document,rule,0.95,"... 44 của Luật Các tổ chức tín dụng số 47/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 cho đến hết nhiệm kỳ của Ban kiểm soát, thành viên Ban kiểm soát, trừ trường hợp ngân hàng thương m..."
23/2009/TT-NHNN,37/2014/TT-NHNN,THAY_THE_BOI,Document,Document,rule,0.95,"Thông tư này có hiệu lực thi hành từ ngày 12 tháng 01 năm 2015 và thay thế Thông tư số 23/2009/TT-NHNN ngày 02/12/2009 quy định việc thiết kế mẫu, chế bản và quản lý in, đúc tiền Việt Nam."
67/2011/QH12,51/2001/QH10,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam năm 1992 đã được sửa đổi, bổ sung một số điều theo Nghị quyết số 51/2001/QH10;"
67/2011/QH12,51/2001/QH10,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam năm 1992 đã được sửa đổi, bổ sung một số điều theo Nghị quyết số 51/2001/QH10;"
46/2023/NĐ-CP,73/2016/NĐ-CP,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,a) Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định chi tiết thi hành Luật Kinh doanh bảo hiểm và Luật ...
46/2023/NĐ-CP,151/2018/NĐ-CP,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"b) Chương III Nghị định số 151/2018/NĐ-CP ngày 07 tháng 11 năm 2018 của Chính phủ sửa đổi, bổ sung một số Nghị định quy định về điều kiện đầu tư, kinh doanh thuộc phạm vi quản lý nhà nước của Bộ Tài chính;"
46/2023/NĐ-CP,80/2019/NĐ-CP,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"c) Điều 1 Nghị định số 80/2019/NĐ-CP ngày 01 tháng 11 năm 2019 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 73/2016/NĐ-CP..."
46/2023/NĐ-CP,98/2013/NĐ-CP,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"...Kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật Kinh doanh bảo hiểm, Nghị định số 98/2013/NĐ-CP ngày 28 tháng 8 năm 2013 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực kinh d..."
46/2023/NĐ-CP,48/2018/NĐ-CP,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"...nh vực kinh doanh bảo hiểm, kinh doanh xổ số đã được sửa đổi, bổ sung một số điều theo Nghị định số 48/2018/NĐ-CP ngày 21 tháng 3 năm 2018 của Chính phủ."
46/2023/NĐ-CP,08/2022/QH15,THAM_CHIEU,Document,Document,rule,0.95,Căn cứ Luật Kinh doanh bảo hiểm số 08/2022/QH15 ngày 16/6/2022 và các văn bản hướng dẫn thi hành;
46/2023/NĐ-CP,14/2023/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Nghị định số 14/2023/NĐ-CP ngày 20/4/2023 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính;"
46/2023/NĐ-CP,16/2022/QH15,THAM_CHIEU,Document,Document,rule,0.95,Căn cứ Luật Kinh doanh bảo hiểm số 16/2022/QH15 ngày 16/6/2022;
156/2020/NĐ-CP,108/2013/NĐ-CP,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,2. Nghị định số 108/2013/NĐ-CP ngày 23 tháng 9 năm 2013 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng kho...
156/2020/NĐ-CP,145/2016/NĐ-CP,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"...ịnh xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán và Nghị định số 145/2016/NĐ-CP ngày 01 tháng 11 năm 2016 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 108/2013/NĐ-C..."
27/2024/TT-NHNN,102/2022/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam;"
27/2024/TT-NHNN,09/2016/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"b) Thông tư số 09/2016/TT-NHNN ngày 17 tháng 6 năm 2016 sửa đổi, bổ sung một số điều của Thông tư số 31/2012/TT-NHNN ngày 26/11/2012 của Thống đốc Ngân hàng Nhà nước quy định về ngân hàng hợp tác xã;"
27/2024/TT-NHNN,31/2012/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"b) Thông tư số 09/2016/TT-NHNN ngày 17 tháng 6 năm 2016 sửa đổi, bổ sung một số điều của Thông tư số 31/2012/TT-NHNN ngày 26/11/2012 của Thống đốc Ngân hàng Nhà nước quy định về ngân hàng hợp tác xã;"
27/2024/TT-NHNN,21/2019/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"d) Điều 1 và Điều 5 Thông tư số 21/2019/TT-NHNN ngày 14 tháng 11 năm 2019 sửa đổi, bổ sung một số điều của các Thông tư quy định về ngân hàng hợp tác xã, quỹ tín dụng nhân dân và quỹ bảo đảm an toàn hệ thống quỹ tín dụng nhân dân;"
