entity_id,entity_type,canonical_name,original_name,source_doc_id,so_ky_hieu,method,confidence,evidence
ENT_0001,CoQuan,Quốc hội,Quốc hội,166170,32/2024/QH15,metadata,1.0,Trích từ metadata.csv: co_quan_ban_hanh='Quốc hội'
ENT_0002,NguoiKy,Vương Đình Huệ,Vương Đình Huệ,166170,32/2024/QH15,metadata,1.0,"Trích từ metadata.csv: nguoi_ky='Vương Đình Huệ', chuc_danh='Chủ tịch Quốc hội'"
ENT_0003,LinhVuc,Tín dụng,Tín dụng,166170,32/2024/QH15,metadata,1.0,Trích từ metadata.csv: linh_vuc='Tín dụng'
ENT_0004,DoiTuongApDung,Tổ chức tín dụng,Tổ chức tín dụng,166170,32/2024/QH15,gemini,0.98,1. Tổ chức tín dụng.
ENT_0005,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,166170,32/2024/QH15,gemini,0.98,2. Chi nhánh ngân hàng nước ngoài.
ENT_0006,DoiTuongApDung,Văn phòng đại diện của tổ chức tín dụng nước ngoài tại Việt Nam,"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",166170,32/2024/QH15,gemini,0.98,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
ENT_0007,DoiTuongApDung,"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ","Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ",166170,32/2024/QH15,gemini,0.98,"4. Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ (sau đây gọi là tổ chức mua bán, xử lý nợ)."
ENT_0008,DoiTuongApDung,"Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng; việc thành lập, tổ chức, hoạt động, can thiệp sớm, giải thể, chấm dứt hoạt động của chi nhánh ngân hàng nước ngoài; việc thành lập, hoạt động của văn phòng đại diện nước ngoài; việc xử lý nợ xấu, tài sản bảo đảm của khoản nợ xấu của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức mua bán, xử lý nợ","Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng; việc thành lập, tổ chức, hoạt động, can thiệp sớm, giải thể, chấm dứt hoạt động của chi nhánh ngân hàng nước ngoài; việc thành lập, hoạt động của văn phòng đại diện nước ngoài; việc xử lý nợ xấu, tài sản bảo đảm của khoản nợ xấu của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức mua bán, xử lý nợ",166170,32/2024/QH15,gemini,0.95,"5. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng; việc thành lập, tổ chức, hoạt động, can thiệp sớm, giải thể, chấm dứt hoạt động của chi nhánh ngân hàng nước ngoài; việc thành lập, hoạt động của văn phòng đại diện nước ngoài; việc xử lý nợ xấu, tài sản bảo đảm của khoản nợ xấu của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức mua bán, xử lý nợ."
ENT_0009,LinhVuc,Ngân hàng,Ngân hàng,166170,32/2024/QH15,gemini,0.95,tổ chức nước ngoài khác có hoạt động ngân hàng
ENT_0010,CoQuan,Chính phủ,Chính phủ,112025,73/2016/NĐ-CP,metadata,1.0,Trích từ metadata.csv: co_quan_ban_hanh='Chính phủ'
