question_id,query_type,question,expected_chunk_id,method,found_rank,hit@1,hit@3,hit@5,reciprocal_rank,top1_chunk_id,top1_citation,top1_score
Q01,EXACT_KEYWORD,Điều 73 Nghị định 46/2023/NĐ-CP quy định về chức danh nào?,doc_163441_dieu_73,bm25,1,1,1,1,1.0,doc_163441_dieu_73,[46/2023/NĐ-CP | Điều 73 | doc_163441_dieu_73],19.4784
Q01,EXACT_KEYWORD,Điều 73 Nghị định 46/2023/NĐ-CP quy định về chức danh nào?,doc_163441_dieu_73,dense,-,0,0,0,0.0,doc_163441_dieu_2_3,[46/2023/NĐ-CP | Điều 2 | doc_163441_dieu_2_3],0.935
Q01,EXACT_KEYWORD,Điều 73 Nghị định 46/2023/NĐ-CP quy định về chức danh nào?,doc_163441_dieu_73,hybrid,1,1,1,1,1.0,doc_163441_dieu_73,[46/2023/NĐ-CP | Điều 73 | doc_163441_dieu_73],0.016393
Q01,EXACT_KEYWORD,Điều 73 Nghị định 46/2023/NĐ-CP quy định về chức danh nào?,doc_163441_dieu_73,hybrid_rerank,1,1,1,1,1.0,doc_163441_dieu_73,[46/2023/NĐ-CP | Điều 73 | doc_163441_dieu_73],0.9957
Q02,EXACT_KEYWORD,Quy định tại Điều 50 Thông tư 01/2014/TT-NHNN về phương tiện vận chuyển tiền mặt,doc_44209_dieu_50,bm25,1,1,1,1,1.0,doc_44209_dieu_50,[01/2014/TT-NHNN | Điều 50 | doc_44209_dieu_50],37.7371
Q02,EXACT_KEYWORD,Quy định tại Điều 50 Thông tư 01/2014/TT-NHNN về phương tiện vận chuyển tiền mặt,doc_44209_dieu_50,dense,-,0,0,0,0.0,doc_44209_dieu_46,[01/2014/TT-NHNN | Điều 46 | doc_44209_dieu_46],0.8706
Q02,EXACT_KEYWORD,Quy định tại Điều 50 Thông tư 01/2014/TT-NHNN về phương tiện vận chuyển tiền mặt,doc_44209_dieu_50,hybrid,4,0,0,1,0.25,doc_44209_dieu_57,[01/2014/TT-NHNN | Điều 57 | doc_44209_dieu_57],0.031754
Q02,EXACT_KEYWORD,Quy định tại Điều 50 Thông tư 01/2014/TT-NHNN về phương tiện vận chuyển tiền mặt,doc_44209_dieu_50,hybrid_rerank,1,1,1,1,1.0,doc_44209_dieu_50,[01/2014/TT-NHNN | Điều 50 | doc_44209_dieu_50],0.9998
Q03,EXACT_KEYWORD,Điều 1 Thông tư 41/2016/TT-NHNN quy định về phạm vi điều chỉnh và đối tượng áp dụng,doc_117310_dieu_1,bm25,1,1,1,1,1.0,doc_117310_dieu_1,[41/2016/TT-NHNN | Điều 1 | doc_117310_dieu_1],36.9602
Q03,EXACT_KEYWORD,Điều 1 Thông tư 41/2016/TT-NHNN quy định về phạm vi điều chỉnh và đối tượng áp dụng,doc_117310_dieu_1,dense,-,0,0,0,0.0,doc_112924_dieu_20,[105/2016/TT-BTC | Điều 20 | doc_112924_dieu_20],0.8938
Q03,EXACT_KEYWORD,Điều 1 Thông tư 41/2016/TT-NHNN quy định về phạm vi điều chỉnh và đối tượng áp dụng,doc_117310_dieu_1,hybrid,2,0,1,1,0.5,doc_112924_dieu_1,[105/2016/TT-BTC | Điều 1 | doc_112924_dieu_1],0.029857
Q03,EXACT_KEYWORD,Điều 1 Thông tư 41/2016/TT-NHNN quy định về phạm vi điều chỉnh và đối tượng áp dụng,doc_117310_dieu_1,hybrid_rerank,1,1,1,1,1.0,doc_117310_dieu_1,[41/2016/TT-NHNN | Điều 1 | doc_117310_dieu_1],0.9999
Q04,EXACT_KEYWORD,Nguyên tắc tham gia bảo hiểm theo Điều 3 Nghị định 73/2016/NĐ-CP,doc_112025_dieu_3,bm25,1,1,1,1,1.0,doc_112025_dieu_3,[73/2016/NĐ-CP | Điều 3 | doc_112025_dieu_3],23.295
